offered_request_rate,repetitions,mean_planned_arrivals,mean_started_arrivals,mean_delivery_ratio,mean_actual_starts_per_second,mean_successful_requests_per_second,mean_client_limited,mean_scheduler_limited,mean_max_observed_in_flight,mean_scheduler_lag_p95_ms,mean_ttft_p50_ms,mean_ttft_p95_ms,mean_ttft_p99_ms,mean_tpot_p50_ms_per_token,mean_tpot_p95_ms_per_token,mean_tpot_p99_ms_per_token,mean_e2e_p50_ms,mean_e2e_p95_ms,mean_e2e_p99_ms,true_itl_coverage
6,3,270.000000,270.000000,1.000000,6.000000,5.954065,0.000000,0.000000,5.000000,1.139450,84.595786,91.446480,97.151281,18.398622,18.556518,18.649979,655.047672,663.180344,666.904039,810/810
8,3,360.000000,360.000000,1.000000,8.000000,7.930992,0.000000,0.000000,7.000000,1.135315,87.448056,94.633644,98.065056,21.870994,22.305221,22.482189,764.978741,782.525849,788.990970,1080/1080
10,3,450.000000,450.000000,1.000000,10.000000,9.906296,0.000000,0.000000,10.333333,1.224751,90.087315,97.147775,101.564090,27.297646,28.707648,28.775214,936.387581,985.901358,989.745668,1350/1350
11,3,495.000000,495.000000,1.000000,11.000000,10.892916,0.000000,0.000000,13.000000,1.156069,92.725384,99.265001,104.365139,32.194859,32.337512,32.436055,1090.575414,1098.883859,1102.488215,1485/1485
12,3,540.000000,540.000000,1.000000,12.000000,11.880328,0.000000,0.000000,16.000000,1.183601,94.057527,101.940310,107.356656,37.601391,37.788531,37.985111,1259.526177,1269.446292,1278.305964,1620/1620
13,3,585.000000,585.000000,1.000000,13.000000,12.159125,0.000000,0.000000,49.000000,1.168913,1396.034969,2609.443236,2726.354313,39.473283,39.674825,39.859019,2617.698675,3770.583042,3880.145631,1755/1755
14,3,630.000000,600.333333,0.952910,13.340741,12.167262,29.666667,0.000000,64.000000,1.158972,3031.965179,3984.983615,3995.710009,39.452818,39.659348,39.803990,4245.737125,5208.603836,5221.975603,1801/1801
16,3,720.000000,597.000000,0.829167,13.266667,12.101250,123.000000,0.000000,64.000000,1.147180,3977.989586,4032.914653,4045.105339,38.155617,39.869553,40.018547,5172.754882,5235.769447,5251.975434,1791/1791
