concurrency,repetitions,actual_output_tokens,mean_successful_requests_per_second,mean_ttft_p50_ms,mean_ttft_p95_ms,mean_ttft_p99_ms,mean_tpot_p50_ms_per_token,mean_tpot_p95_ms_per_token,mean_tpot_p99_ms_per_token,mean_e2e_p50_ms,mean_e2e_p95_ms,mean_e2e_p99_ms,mean_output_tokens_per_second,total_itl_available_requests,total_itl_expected_requests
1,3,41.000000,1.632399,61.249207,64.957894,69.387375,13.425479,13.485572,13.606481,612.338120,615.707426,620.423853,66.928357,958,960
2,3,41.000000,3.010954,107.521386,121.505619,125.148771,13.430912,14.312607,14.748847,664.550218,673.453373,677.463740,123.449124,960,960
4,3,41.000000,5.199832,191.678704,218.853483,220.588191,13.996538,16.282315,16.317726,770.070348,775.006645,779.289829,213.193113,960,960
8,3,41.000000,8.105612,316.957747,408.843724,421.013641,16.379827,21.100956,21.551388,986.371575,995.299506,1002.195621,332.330102,960,960
16,3,41.000000,11.376602,467.320571,572.734152,787.318588,22.465835,30.931587,31.914809,1408.396076,1419.132156,1577.991993,466.440676,960,960
32,3,41.000000,11.456189,1715.536321,1787.779063,2163.517724,23.097851,32.333172,32.713948,2796.812047,2861.808047,3101.113502,469.703730,944,960
