input_tokens,actual_output_tokens,concurrency,repetitions,mean_ttft_p50_ms,mean_ttft_p95_ms,mean_ttft_p99_ms,mean_tpot_p50_ms_per_token,mean_tpot_p95_ms_per_token,mean_tpot_p99_ms_per_token,mean_e2e_p50_ms,mean_e2e_p95_ms,mean_e2e_p99_ms,mean_successful_requests_per_second,mean_input_tokens_per_second,mean_output_tokens_per_second,total_itl_available_requests,total_measured_requests
128,32,8,3,111.657930,119.689232,122.356545,13.842486,15.705680,15.757486,541.216279,548.617143,550.715932,14.761713,1889.499230,472.374807,960,960
128,32,16,3,186.145922,217.635721,227.320308,15.350823,19.320365,19.677747,660.490380,671.336753,682.371117,24.211689,3099.096205,774.774051,960,960
512,32,8,3,255.408365,389.741206,405.967926,16.674010,25.238049,25.324012,866.022216,872.714100,882.017829,9.249530,4735.759221,295.984951,960,960
512,32,16,3,471.810939,587.759838,808.932263,25.911089,37.908155,38.330463,1275.564160,1287.932783,1458.473755,12.563022,6432.267203,402.016700,960,960
2048,32,8,3,798.623366,818.164895,1206.072419,40.240510,57.935224,58.336572,2048.435184,2063.414460,2442.930071,3.902186,7991.677909,124.869967,960,960
2048,32,16,3,839.525522,851.708301,2888.120509,93.325377,111.523696,112.306340,3731.399951,3767.856651,5785.643389,4.275482,8756.187958,136.815437,960,960
